id,desc
1CMET2-PWY,folate transformations III (<i>E. coli</i>)
2PHENDEG-PWY,phenylethylamine degradation I
4AMINOBUTMETAB-PWY,superpathway of 4-aminobutanoate degradation
ACETATEUTIL-PWY,superpathway of acetate utilization and formation
ACETOACETATE-DEG-PWY,acetoacetate degradation (to acetyl CoA)
ALADEG-PWY,L-alanine degradation I
ALANINE-SYN2-PWY,L-alanine biosynthesis II
ALANINE-VALINESYN-PWY,L-alanine biosynthesis I
ALKANEMONOX-PWY,two-component alkanesulfonate monooxygenase
ALL-CHORISMATE-PWY,superpathway of chorismate metabolism
AMMASSIM-PWY,ammonia assimilation cycle III
ARABCAT-PWY,L-arabinose degradation I
ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis
ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine)
ARO-PWY,chorismate biosynthesis I
ASPARAGINE-DEG1-PWY,L-asparagine degradation I
ASPARAGINESYN-PWY,L-asparagine biosynthesis II
ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis
AST-PWY,L-arginine degradation II (AST pathway)
BETSYN-PWY,glycine betaine biosynthesis I (Gram-negative bacteria)
BGALACT-PWY,lactose degradation III
BIOTIN-BIOSYNTHESIS-PWY,biotin biosynthesis I
BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched chain amino acid biosynthesis
BSUBPOLYAMSYN-PWY,spermidine biosynthesis I
CARNMET-PWY,L-carnitine degradation I
COA-PWY,coenzyme A biosynthesis I (bacteria)
COBALSYN-PWY,superpathway of adenosylcobalamin salvage from cobinamide I
COLANSYN-PWY,colanic acid building blocks biosynthesis
COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis
CYANCAT-PWY,cyanate degradation
CYSTSYN-PWY,L-cysteine biosynthesis I
DAPLYSINESYN-PWY,L-lysine biosynthesis I
DARABCATK12-PWY,D-arabinose degradation II
DENOVOPURINE2-PWY,superpathway of purine nucleotides <i>de novo</i> biosynthesis II
DETOX1-PWY,superoxide radicals degradation
DTDPRHAMSYN-PWY,dTDP-L-rhamnose biosynthesis
ECASYN-PWY,enterobacterial common antigen biosynthesis
ENTBACSYN-PWY,enterobactin biosynthesis
ENTNER-DOUDOROFF-PWY,Entner-Doudoroff shunt
ETOH-ACETYLCOA-ANA-PWY,ethanol degradation I
FAO-PWY,fatty acid &beta;-oxidation I (generic)
FASYN-ELONG-PWY,fatty acid elongation -- saturated
FASYN-INITIAL-PWY,superpathway of fatty acid biosynthesis initiation
FERMENTATION-PWY,mixed acid fermentation
FUC-RHAMCAT-PWY,superpathway of fucose and rhamnose degradation
FUCCAT-PWY,L-fucose degradation I
GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY,D-galactarate degradation I
GALACTCAT-PWY,D-galactonate degradation
GALACTITOLCAT-PWY,galactitol degradation
GALACTMETAB-PWY,galactose degradation I (Leloir pathway)
GALACTUROCAT-PWY,D-galacturonate degradation I
GLCMANNANAUT-PWY,"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation"
GLUAMCAT-PWY,<i>N</i>-acetylglucosamine degradation I
GLUCARDEG-PWY,<i>D</i>-glucarate degradation I
GLUCARGALACTSUPER-PWY,superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY,gluconeogenesis I
GLUCONSUPER-PWY,D-gluconate degradation
GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation
GLUCUROCAT-PWY,superpathway of &beta;-D-glucuronosides degradation
GLUT-REDOX-PWY,glutathione-glutaredoxin redox reactions
GLUTAMINDEG-PWY,L-glutamine degradation I
GLUTATHIONESYN-PWY,glutathione biosynthesis
GLUTDEG-PWY,L-glutamate degradation II
GLUTORN-PWY,L-ornithine biosynthesis I
GLUTSYN-PWY,L-glutamate biosynthesis I
GLYCEROLMETAB-PWY,glycerol degradation V
GLYCLEAV-PWY,glycine cleavage
GLYCOCAT-PWY,glycogen degradation I
GLYCOGENSYNTH-PWY,glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOL-GLYOXDEG-PWY,superpathway of glycol metabolism and degradation
GLYCOLATEMET-PWY,glycolate and glyoxylate degradation I
GLYCOLYSIS,glycolysis I (from glucose 6-phosphate)
GLYCOLYSIS-E-D,superpathway of glycolysis and the Entner-Doudoroff pathway
GLYCOLYSIS-TCA-GLYOX-BYPASS,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
GLYOXDEG-PWY,glycolate and glyoxylate degradation II
GLYOXYLATE-BYPASS,glyoxylate cycle
HCAMHPDEG-PWY,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
HEME-BIOSYNTHESIS-II-1,heme <i>b</i> biosynthesis V (aerobic)
HEMESYN2-PWY,heme <i>b</i> biosynthesis II (oxygen-independent)
HEXITOLDEGSUPER-PWY,superpathway of hexitol degradation (bacteria)
HISTSYN-PWY,L-histidine biosynthesis
HOMOSER-METSYN-PWY,L-methionine biosynthesis I
HOMOSER-THRESYN-PWY,L-threonine biosynthesis
HOMOSERSYN-PWY,L-homoserine biosynthesis
IDNCAT-PWY,L-idonate degradation
ILEUSYN-PWY,L-isoleucine biosynthesis I (from threonine)
KDO-LIPASYN-PWY,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>)
KDO-NAGLIPASYN-PWY,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
KETOGLUCONMET-PWY,ketogluconate metabolism
LCYSDEG-PWY,L-cysteine degradation II
LEUSYN-PWY,L-leucine biosynthesis
LIPA-CORESYN-PWY,lipid A-core biosynthesis (<i>E. coli</i> K-12)
LPSSYN-PWY,superpathway of Kdo<sub>2</sub>-lipid A biosynthesis
LYXMET-PWY,L-lyxose degradation
MANNCAT-PWY,D-mannose degradation I
MET-SAM-PWY,superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis
METHGLYUT-PWY,superpathway of methylglyoxal degradation
METSYN-PWY,superpathway of L-homoserine and L-methionine biosynthesis
NADPHOS-DEPHOS-PWY,NAD phosphorylation and dephosphorylation
NAGLIPASYN-PWY,lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)
NONMEVIPP-PWY,methylerythritol phosphate pathway I
NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch) I
OANTIGEN-PWY,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)
ORNARGDEG-PWY,superpathway of L-arginine and L-ornithine degradation
ORNDEG-PWY,superpathway of ornithine degradation
OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I
P2-PWY,citrate lyase activation
P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
PANTO-PWY,phosphopantothenate biosynthesis I
PANTOSYN-PWY,superpathway of coenzyme A biosynthesis I (bacteria)
PENTOSE-P-PWY,pentose phosphate pathway
PEPTIDOGLYCANSYN-PWY,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
PHESYN,L-phenylalanine biosynthesis I
PHOSLIPSYN-PWY,superpathway of phospholipid biosynthesis III (<i>E. coli</i>)
PLPSAL-PWY,pyridoxal 5'-phosphate salvage I
POLYAMSYN-PWY,superpathway of polyamine biosynthesis I
POLYISOPRENSYN-PWY,polyisoprenoid biosynthesis (<i>E. coli</i>)
PPGPPMET-PWY,ppGpp metabolism
PROSYN-PWY,L-proline biosynthesis I (from L-glutamate)
PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis"
PUTDEG-PWY,putrescine degradation I
PWY-1269,CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis
PWY-1801,formaldehyde oxidation II (glutathione-dependent)
PWY-2161,folate polyglutamylation
PWY-40,putrescine biosynthesis I
PWY-4261,glycerol degradation I
PWY-4381,fatty acid biosynthesis initiation (type II)
PWY-5084,2-oxoglutarate decarboxylation to succinyl-CoA
PWY-5162,"2-hydroxypenta-2,4-dienoate degradation"
PWY-5188,uroporphyrinogen-III I (from glutamate)
PWY-5329,L-cysteine degradation III
PWY-5340,sulfate activation for sulfonation
PWY-5350,thiosulfate disproportionation IV (rhodanese)
PWY-5386,methylglyoxal degradation I
PWY-5436,L-threonine degradation IV
PWY-5437,L-threonine degradation I
PWY-5453,methylglyoxal degradation III
PWY-5459,methylglyoxal degradation IV
PWY-5484,glycolysis II (from fructose 6-phosphate)
PWY-5509,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
PWY-5659,GDP-mannose biosynthesis
PWY-5667,CDP-diacylglycerol biosynthesis I
PWY-5668,cardiolipin biosynthesis I
PWY-5669,phosphatidylserine and phosphatidylethanolamine biosynthesis I
PWY-5686,UMP biosynthesis I
PWY-5698,allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-5705,allantoin degradation to glyoxylate III
PWY-5785,"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis"
PWY-5837,"2-carboxy-1,4-naphthoquinol biosynthesis"
PWY-5838,superpathway of menaquinol-8 biosynthesis I
PWY-5901,"2,3-dihydroxybenzoate biosynthesis"
