id,desc
IPR000014,PAS domain
IPR000015,Outer membrane usher protein
IPR000021,Hok/gef cell toxic protein
IPR000032,Phosphocarrier protein HPr-like
IPR000045,"Prepilin type IV endopeptidase, peptidase domain"
IPR000049,"Electron transfer flavoprotein, beta-subunit, conserved site"
IPR000056,Ribulose-phosphate 3-epimerase-like
IPR000060,BCCT transporter family
IPR000064,"Endopeptidase, NLPC/P60 domain"
IPR000073,Alpha/beta hydrolase fold-1
IPR000086,NUDIX hydrolase domain
IPR000089,Biotin/lipoyl attachment
IPR000092,Polyprenyl synthetase-like
IPR000109,Proton-dependent oligopeptide transporter family
IPR000119,Histone-like DNA-binding protein
IPR000121,"PEP-utilising enzyme, C-terminal"
IPR000150,Cof family
IPR000160,GGDEF domain
IPR000182,GNAT domain
IPR000183,Ornithine/DAP/Arg decarboxylase
IPR000184,Bacterial surface antigen (D15)
IPR000189,"Prokaryotic transglycosylase, active site"
IPR000192,Aminotransferase class V domain
IPR000194,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"
IPR000212,"DNA helicase, UvrD/REP type"
IPR000214,"Zinc finger, DNA glycosylase/AP lyase-type"
IPR000249,Bacterial microcompartment domain
IPR000259,Fimbrial-type adhesion domain
IPR000277,"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme"
IPR000281,Helix-turn-helix protein RpiR
IPR000291,"D-alanine--D-alanine ligase/VANA/B/C, conserved site"
IPR000292,Formate/nitrite transporter
IPR000297,"Peptidyl-prolyl cis-trans isomerase, PpiC-type"
IPR000305,GIY-YIG endonuclease
IPR000310,"Orn/Lys/Arg decarboxylase, major domain"
IPR000312,"Glycosyl transferase, family 3"
IPR000322,"Glycoside hydrolase family 31, TIM barrel domain"
IPR000326,Phosphatidic acid phosphatase type 2/haloperoxidase
IPR000352,Peptide chain release factor class I
IPR000358,Ribonucleotide reductase small subunit family
IPR000361,"Core domain, A-type assembly protein ATAP"
IPR000362,Fumarate lyase family
IPR000374,Phosphatidate cytidylyltransferase
IPR000380,"DNA topoisomerase, type IA"
IPR000390,Small drug/metabolite transporter protein family
IPR000399,"TPP-binding enzyme, conserved site"
IPR000412,ABC-2 transporter
IPR000415,Nitroreductase-like
IPR000424,Primosome PriB/single-strand DNA-binding
IPR000425,Major intrinsic protein
IPR000445,Helix-hairpin-helix motif
IPR000447,FAD-dependent glycerol-3-phosphate dehydrogenase
IPR000462,CDP-alcohol phosphatidyltransferase
IPR000473,Large ribosomal subunit protein bL36
IPR000485,AsnC-type HTH domain
IPR000489,Pterin-binding domain
IPR000515,"ABC transporter type 1, transmembrane domain MetI-like"
IPR000522,"ABC transporter, permease protein, BtuC-like"
IPR000524,"Transcription regulator HTH, GntR"
IPR000531,"TonB-dependent receptor-like, beta-barrel"
IPR000534,"Semialdehyde dehydrogenase, NAD-binding"
IPR000537,UbiA prenyltransferase
IPR000551,MerR-type HTH domain
IPR000560,"Histidine phosphatase superfamily, clade-2"
IPR000573,"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain"
IPR000577,"Carbohydrate kinase, FGGY"
IPR000581,"Dihydroxy-acid/6-phosphogluconate dehydratase, N-terminal"
IPR000594,THIF-type NAD/FAD binding fold
IPR000595,Cyclic nucleotide-binding domain
IPR000600,ROK family
IPR000620,EamA domain
IPR000623,Shikimate kinase/Threonine synthase-like 1
IPR000629,"ATP-dependent RNA helicase DEAD-box, conserved site"
IPR000634,"Serine/threonine dehydratase, pyridoxal-phosphate-binding site"
IPR000640,"Elongation factor EFG, domain V-like"
IPR000644,CBS domain
IPR000653,DegT/DnrJ/EryC1/StrS aminotransferase
IPR000669,Mannitol dehydrogenase
IPR000671,Peptidase A31 family
IPR000674,"Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead"
IPR000683,"Gfo/Idh/MocA-like oxidoreductase, N-terminal"
IPR000688,Hydrogenase maturation factor HypA/HybF
IPR000700,"PAS-associated, C-terminal"
IPR000701,"Succinate dehydrogenase/fumarate reductase type B, transmembrane subunit"
IPR000709,Leu/Ile/Val-binding protein
IPR000713,"Mur ligase, N-terminal catalytic domain"
IPR000715,"Glycosyl transferase, family 4"
IPR000748,"Pseudouridine synthase, RsuA/RluB/E/F"
IPR000758,Virulence-related outer membrane protein
IPR000760,Inositol monophosphatase-like
IPR000771,"Fructose-bisphosphate aldolase, class-II"
IPR000774,"Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal"
IPR000788,"Ribonucleotide reductase large subunit, C-terminal"
IPR000792,"Transcription regulator LuxR, C-terminal"
IPR000794,Beta-ketoacyl synthase
IPR000795,Translational (tr)-type GTP-binding domain
IPR000796,Aspartate/other aminotransferase
IPR000801,Esterase-like
IPR000811,"Glycosyl transferase, family 35"
IPR000819,"Peptidase M17, leucyl aminopeptidase, C-terminal"
IPR000821,Alanine racemase
IPR000825,"SUF system FeS cluster assembly, SufBD core domain"
IPR000835,MarR-type HTH domain
IPR000836,Phosphoribosyltransferase domain
IPR000838,"RNA polymerase sigma factor 70, ECF, conserved site"
IPR000843,LacI-type HTH domain
IPR000845,Nucleoside phosphorylase domain
IPR000847,"LysR, HTH, N-terminal domain"
IPR000849,Sugar phosphate transporter
IPR000866,Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant
IPR000868,Isochorismatase-like domain
IPR000873,AMP-dependent synthetase/ligase domain
IPR000878,Tetrapyrrole methylase
IPR000887,KDPG/KHG aldolase
IPR000890,"Aliphatic acid kinase, short-chain"
IPR000891,Pyruvate carboxyltransferase
IPR000897,"Signal recognition particle, SRP54 subunit, GTPase domain"
IPR000905,Gcp-like domain
IPR000914,Solute-binding protein family 5 domain
IPR000917,"Sulfatase, N-terminal"
IPR000924,Glutamyl/glutaminyl-tRNA synthetase
IPR000943,RNA polymerase sigma-70
IPR000944,Transcription regulator Rrf2
IPR000957,"Sulphate/thiosulphate-binding, conserved site"
IPR000962,"Zinc finger, DksA/TraR C4-type"
IPR000994,Peptidase M24
IPR001020,"Phosphotransferase system, HPr histidine phosphorylation site"
IPR001029,"Flagellin, N-terminal domain"
IPR001030,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"
IPR001034,DeoR-type HTH domain
IPR001036,Acriflavin resistance protein
IPR001041,2Fe-2S ferredoxin-type iron-sulfur binding domain
IPR001048,Aspartate/glutamate/uridylate kinase
IPR001059,"Translation elongation factor P/YeiP, central"
IPR001078,"2-oxoacid dehydrogenase acyltransferase, catalytic domain"
IPR001088,"Glycoside hydrolase, family 4"
IPR001093,IMP dehydrogenase/GMP reductase
IPR001094,Flavodoxin-like
IPR001100,"Pyridine nucleotide-disulphide oxidoreductase, class I"
IPR001107,Band 7 domain
IPR001109,"Hydrogenase expression/formation protein, HupF/HypC"
IPR001110,"Uncharacterised protein family UPF0012, conserved site"
IPR001123,"Amino acid exporter protein, LeuE-type"
IPR001126,UmuC domain
IPR001127,"Phosphotransferase system, sugar-specific permease EIIA type 1"
IPR001130,3'-5' ssDNA/RNA exonuclease TatD-like
IPR001131,"Peptidase M24B, X-Pro dipeptidase/aminopeptidase P, conserved site"
IPR001135,"NADH-quinone oxidoreductase, subunit D"
IPR001150,Glycine radical domain
IPR001155,"NADH:flavin oxidoreductase/NADH oxidase, N-terminal"
IPR001173,Glycosyltransferase 2-like
IPR001179,FKBP-type peptidyl-prolyl cis-trans isomerase domain
IPR001182,Probable peptidoglycan glycosyltransferase FtsW/RodA
IPR001188,Spermidine/putrescine-binding periplasmic protein
IPR001189,Manganese/iron superoxide dismutase
IPR001204,Phosphate transporter
IPR001216,"Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site"
IPR001226,"Flavodoxin, conserved site"
IPR001227,Acyl transferase domain superfamily
IPR001241,"DNA topoisomerase, type IIA"
IPR001247,"Exoribonuclease, phosphorolytic domain 1"
IPR001248,Purine-cytosine permease
IPR001261,"ArgE/DapE/ACY1/CPG2/YscS, conserved site"
IPR001264,"Glycosyl transferase, family 51"
IPR001268,"NADH:ubiquinone oxidoreductase, 30kDa subunit"
IPR001269,tRNA-dihydrouridine synthase
IPR001270,ClpA/B family
IPR001279,Metallo-beta-lactamase
IPR001296,"Glycosyl transferase, family 1"
IPR001303,Class II aldolase/adducin N-terminal
IPR001307,"Thiosulphate sulfurtransferase, conserved site"
IPR001308,Electron transfer flavoprotein alpha subunit/FixB
IPR001320,"Ionotropic glutamate receptor, C-terminal"
IPR001341,Aspartate kinase
IPR001342,"Homoserine dehydrogenase, catalytic"
IPR001345,"Phosphoglycerate/bisphosphoglycerate mutase, active site"
IPR001347,SIS domain
IPR001360,Glycoside hydrolase family 1
IPR001375,"Peptidase S9, prolyl oligopeptidase, catalytic domain"
