PMID	title	year	journal	authors
15123798	Carbon nutrition of Escherichia coli in the mouse intestine.	2004	Proc Natl Acad Sci U S A	Chang DE, Smalley DJ, Tucker DL, Leatham MP, Norris WE, Stevenson SJ, Anderson AB, Grissom JE, Laux DC, Cohen PS, Conway T
15818467	Characterization of the rdar morphotype, a multicellular behaviour in Enterobacteriaceae.	2005	Cell Mol Life Sci	Römling U
19210615	Hydrophobic peptides: novel regulators within bacterial membrane.	2009	Mol Microbiol	Alix E, Blanc-Potard AB
19332833	Gene expression patterns and differential input into curli fimbriae regulation of all GGDEF/EAL domain proteins in Escherichia coli.	2009	Microbiology (Reading)	Sommerfeldt N, Possling A, Becker G, Pesavento C, Tschowri N, Hengge R
4942547	Ribosomal proteins. Isolation of proteins from 50S ribosomal subunits of Escherichia coli.	1971	Eur J Biochem	Hindennach I, Kaltschmidt E, Wittmann HG
12367533	Oligomeric properties and signal peptide binding by Escherichia coli Tat protein transport complexes.	2002	J Mol Biol	de Leeuw E, Granjon T, Porcelli I, Alami M, Carr SB, Müller M, Sargent F, Palmer T, Berks BC
14560665	The Tat protein translocation pathway and its role in microbial physiology.	2003	Adv Microb Physiol	Berks BC, Palmer T, Sargent F
15044727	Experimentally based topology models for E. coli inner membrane proteins.	2004	Protein Sci	Rapp M, Drew D, Daley DO, Nilsson J, Carvalho T, Melén K, De Gier JW, Von Heijne G
15802249	Protein targeting by the bacterial twin-arginine translocation (Tat) pathway.	2005	Curr Opin Microbiol	Berks BC, Palmer T, Sargent F
16445746	Pathfinders and trailblazers: a prokaryotic targeting system for transport of folded proteins.	2006	FEMS Microbiol Lett	Sargent F, Berks BC, Palmer T
16862137	A comprehensive library of fluorescent transcriptional reporters for Escherichia coli.	2006	Nat Methods	Zaslaver A, Bren A, Ronen M, Itzkovitz S, Kikoin I, Shavit S, Liebermeister W, Surette MG, Alon U
15773991	Transcriptional response of Escherichia coli to external copper.	2005	Mol Microbiol	Yamamoto K, Ishihama A
15817387	Export of complex cofactor-containing proteins by the bacterial Tat pathway.	2005	Trends Microbiol	Palmer T, Sargent F, Berks BC
16352602	Defining the role of the Escherichia coli chaperone SecB using comparative proteomics.	2006	J Biol Chem	Baars L, Ytterberg AJ, Drew D, Wagner S, Thilo C, van Wijk KJ, de Gier JW
20345943	Escherichia coli K-12 possesses multiple cryptic but functional chaperone-usher fimbriae with distinct surface specificities.	2010	Environ Microbiol	Korea CG, Badouraly R, Prevost MC, Ghigo JM, Beloin C
11274153	Characterization of the Escherichia coli sigma E regulon.	2001	J Biol Chem	Dartigalongue C, Missiakas D, Raina S
16756484	Biosynthesis and assembly of capsular polysaccharides in Escherichia coli.	2006	Annu Rev Biochem	Whitfield C
14594833	A novel family of Escherichia coli toxin-antitoxin gene pairs.	2003	J Bacteriol	Brown JM, Shaw KJ
15121896	Identification and functional analysis of 'hypothetical' genes expressed in Haemophilus influenzae.	2004	Nucleic Acids Res	Kolker E, Makarova KS, Shabalina S, Picone AF, Purvine S, Holzman T, Cherny T, Armbruster D, Munson RS, Kolesov G, Frishman D, Galperin MY
15640221	Phenotypic screening of Escherichia coli K-12 Tn5 insertion libraries, using whole-genome oligonucleotide microarrays.	2005	Appl Environ Microbiol	Winterberg KM, Luecke J, Bruegl AS, Reznikoff WS
17218314	Export pathway selectivity of Escherichia coli twin arginine translocation signal peptides.	2007	J Biol Chem	Tullman-Ercek D, DeLisa MP, Kawarasaki Y, Iranpour P, Ribnicky B, Palmer T, Georgiou G
11121068	Nitrogen regulatory protein C-controlled genes of Escherichia coli: scavenging as a defense against nitrogen limitation.	2000	Proc Natl Acad Sci U S A	Zimmer DP, Soupene E, Lee HL, Wendisch VF, Khodursky AB, Peter BJ, Bender RA, Kustu S
12399493	Escherichia coli gene expression responsive to levels of the response regulator EvgA.	2002	J Bacteriol	Masuda N, Church GM
16672475	Development of a biofilm production-deficient Escherichia coli strain as a host for biotechnological applications.	2006	Appl Environ Microbiol	Sung BH, Lee CH, Yu BJ, Lee JH, Lee JY, Kim MS, Blattner FR, Kim SC
